url,ProductReference,Name,Brand,ShortDescription,specificOne,specificOneValue,specificTwo,specificTwoValue,specificThree,specificThreeValue,DataSheet
https://redstarexhaustusa.com/acura-nsx-downpipe-and-exhaust-system,RS.NSX.System,Acura NSX Downpipe and Exhaust System,RedStar Exhaust,"Unlock the real power from your NSX, with a full 3” performance exhaust system.*Not interchangeable with OEM Downpipes or OEM exhaust*NSX Face-off VideoNSX HJS/Titanium Cold Start NSX HJS/Titanium Exhaust Drive-ByAcura NSX Type S Exhaust VideoNSX Gesi 400 5” Quad Tip Titanium Exhaust VideoNSX Competition Heat Shielded Downpipes Titanium Quad Tip Exhaust Video",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Pipe Diameter: ,3”,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>3.5L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/acura-nsx-exhaust,RS.NSX.Exhaust,Acura NSX Exhaust,RedStar Exhaust,Unlocking the real power from your modern turbocharged supercar performance Competition Exhaust System are one of the most effective modifications you can start with. Dramatically unrestricted exhaust gas flow. Excessive backpressure causes bigger turbo lag and slower spool up as well.*Interchangeable with OEM or other Brand Downpipes* NSX Gesi 400 5” Downpipe Quad Tip Exhaust Video,Alloy: ,Stainless Steel,Tip Style: ,Dual ,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>3.5L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/acura-nsx-downpipes,RS.NSX.DP,Acura NSX Downpipes,RedStar Exhaust,"Maximize the potential of your turbocharged supercar with Redstar Downpipes, the ultimate starting point for unleashing its true power. Say goodbye to turbo lag and slow spool up, our downpipes efficiently eliminate excessive backpressure.For OE Shield Brackets, request in the notes section when orderingNSX Downpipe Video LaunchNSX Face-off VideoNSX Gesi 400 5” Quad Tip Titanium Video",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>3.5L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/alfa-romeo-giulia-quadrifoglio-downpipes,RS.GiuliaQV.DP,Alfa Romeo Giulia Quadrifoglio Downpipes,RedStar Exhaust,"Unlock the complete potential of your Alfa Romeo 2.9 Quadrifoglio Engine with REDSTAR EXHAUST Giulia Downpipes. Elevate your driving experience with remarkable performance enhancements and an exhilarating, amplified soundtrack.Giulia QV Catless Downpipes Before & After VideoGiulia QV Catless Heat Shielded Downpipes Video ",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>2.9L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/alfa-romeo-stelvio-quadrifoglio-downpipes,RS.StelvioQV.DP,Alfa Romeo Stelvio Quadrifoglio Downpipes,RedStar Exhaust,"Introducing REDSTAR EXHAUST Stelvio Downpipes designed specifically for the Quadrifoglio model, featuring the potent 2.9 F154 Twin Turbo V6 Engine. Stelvio HJS 200 Catted Downpipe VideoStelvio Downpipe VideoStelvio Quadrifoglio Rev Video ",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>2.9L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/aston-martin-db11-40-downpipes,RS.DB11.FullKit,Aston Martin DB11 4.0 Downpipes,RedStar Exhaust,Redstar Exhaust DB11 4.0 Downpipes meticulously crafted and designed to optimize the M177 engine. Our precision flow-optimized design ensures a seamless and precise fit which includes the complete primary and secondary downpipes. This direct bolt-on solution enhances both performance and efficiency.,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/aston-martin-vantage-40-downpipes,RS.Vantage.FullKit,Aston Martin Vantage 4.0 Downpipes,RedStar Exhaust,Redstar Exhaust Vantage 4.0 Downpipes meticulously crafted and designed to optimize the M177 engine. Our precision flow-optimized design ensures a seamless and precise fit which includes the complete primary and secondary downpipes. This direct bolt-on solution enhances both performance and efficiency.,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/aston-martin-db11-40-primary-downpipes,RS.DB11.Primary,Aston Martin DB11 4.0 Primary Downpipes,RedStar Exhaust,"Introducing the Redstar Exhaust: meticulously crafted and expertly engineered for the DB11 M177 4.0 engine. Our design guarantees a flawless fit, offering a seamless, direct bolt-on solution for the primary downpipes. This upgrade seamlessly replaces the primary Catalyst section after the turbos, significantly enhancing your vehicle's performance and efficiency.",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/aston-martin-vantage-40-primary-downpipes,RS.Vantage.Primary,Aston Martin Vantage 4.0 Primary Downpipes,RedStar Exhaust,"Introducing the Redstar Exhaust, a meticulously crafted system designed to optimize the Vantage M177 4.0 engine. Our precision flow-optimized design ensures a seamless and precise fit with the primary downpipes. This direct bolt-on solution seamlessly replaces the primary Catalyst section after the turbos, ultimately enhancing both performance and efficiency.",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/aston-martin-db11-40-secondary-downpipes,RS.DB11.Secondary ,Aston Martin DB11 4.0 Secondary Downpipes,RedStar Exhaust,"Introducing the Redstar Exhaust tailored for the Aston Martin DB11 equipped with a potent 4.0L M177 engine, spotlighting a dedicated secondary cat delete. Our design prioritizes meticulous flow optimization in the lower Secondary Downpipe, ensuring a hassle-free, bolt-on installation that won't trigger any check engine lights.",Performance Heat Shielding: ,No ,,,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
