id,nama,akreditas,provinsi,lintang,bujur,jln,logo,npsn,website,no_tel,jumlah_prodi,rasio,page
NTUxOEY0OUQtQzk4RS00OUIwLUEzOTQtRTc1NzUzQjAzQzkz,Universitas Riau,A,Kota Pekanbaru - Prov. Riau - Indonesia,0.476465,101.381063,Kampus Bina Widya Simpang Baru,,001017  ,www.unri.ac.id,0761-63266,122,"[{'smt': '20181', 'jmldosen': 2239, 'jmlmhs': 35372}, {'smt': '20191', 'jmldosen': 2564, 'jmlmhs': 35817}]",1
MTEzQjREMDYtMzRDQS00QTZFLUEyOUEtOUFGMzcyOTMzQzhG,Universitas Trisakti,A,Kota Jakarta Barat - Prov. D.K.I. Jakarta - Indonesia,-6.168208,106.789192,Jalan Kyai Tapa No 1 Grogol ,,031016  ,www.trisakti.ac.id,021-5663232,53,"[{'smt': '20181', 'jmldosen': 1378, 'jmlmhs': 24127}, {'smt': '20191', 'jmldosen': 1435, 'jmlmhs': 21615}]",1
RDc1MTNDMDUtNzI0Mi00RURGLUE3RUQtMEM1NDI2NDE3QjhD,Akademi Akuntansi Lampung,B,Kota Bandar Lampung - Prov. Lampung - Indonesia,,,Jalan Pelita I No 24-b Labuhan Ratu,,024010  ,,0721-703470,1,"[{'smt': '20181', 'jmldosen': 0, 'jmlmhs': 92}, {'smt': '20191', 'jmldosen': 0, 'jmlmhs': 148}]",1
MEVBOTM4NDktODI1NS00Q0JDLUIxRDgtNEJGMkU3QTUyMTJB,Akademi Farmasi Jember,B,Kab. Jember - Prov. Jawa Timur - Indonesia,-8.141921,113.736299,Jl. Pangandaran no.42 Antirogo Jember ,,074122  ,akademifarmasijember.ac.id,0331 - 338884,1,"[{'smt': '20181', 'jmldosen': 12, 'jmlmhs': 360}, {'smt': '20191', 'jmldosen': 11, 'jmlmhs': 471}]",1
NUZFRThCOUQtODEyRi00MUQ2LTlCRUYtRTc1MTAxQjU0QUQx,Akademi Kebidanan Anugerah Bintan,B,Kota Tanjungpinang - Prov. Kepulauan Riau - Indonesia,0.91165,104.5316,"Jl. Lembah Merpati, km 13, Kota Tanjungpinang 
Provinsi Kepulauan Riau",,104119  ,www.anugerahbintan.ac.id,0771-442787,1,"[{'smt': '20181', 'jmldosen': 8, 'jmlmhs': 81}, {'smt': '20191', 'jmldosen': 10, 'jmlmhs': 87}]",1
QkYzNTcxODctQjVCMi00NkNGLUI3RjctQzQ2ODc1M0NGQUIy,Akademi Kebidanan As-Syifa Kisaran,B,Kab. Asahan - Prov. Sumatera Utara - Indonesia,,,Jln. Durian LK.IV Kel. Kisaran Naga Kec. Kota Kisaran Timur,,014183  ,akbidassyifakisaran.ac.id,0623-4562044,1,"[{'smt': '20181', 'jmldosen': 0, 'jmlmhs': 0}, {'smt': '20191', 'jmldosen': 0, 'jmlmhs': 0}]",1
QUE5MjY3NkEtNUMyNy00QjdFLThENTYtMkE5MjMxMjc1REJC,Akademi Kebidanan Dharma Husada Kediri,B,Kota Kediri - Prov. Jawa Timur - Indonesia,-7.8098656,112.0142891,Jalan Penanggungan No 41-A ,,074046  ,http://akbiddharmahusadakdr.ac.id,+6285893544246,1,"[{'smt': '20181', 'jmldosen': 16, 'jmlmhs': 88}, {'smt': '20191', 'jmldosen': 16, 'jmlmhs': 57}]",1
QTk3RERBQ0ItOTdFRS00NTZCLUFEMzItRTdGODU1RjFGMzM5,Akademi Kebidanan Harapan Keluarga,B,Kota Gunung Sitoli - Prov. Sumatera Utara - Indonesia,-1.2772482,98.5324517,"Jalan Yos Sudarso  km 6,5 gunungsitoli",,014184  , ,06397000268,1,"[{'smt': '20181', 'jmldosen': 18, 'jmlmhs': 453}, {'smt': '20191', 'jmldosen': 0, 'jmlmhs': 388}]",1
MTJGRUI2QzUtMzIxOC00MkQ5LThGMkMtNkZGRTdDQzUzRTMw,Akademi Kebidanan Jember,B,Kec. Sumbersari - Kab. Jember - Prov. Jawa Timur,-8.141998,113.7363213,Jalan Pangandaran 42 Antirogo ,,074074  , www.akbidjember.ac.id,0331325930,1,"[{'smt': '20181', 'jmldosen': 5, 'jmlmhs': 60}, {'smt': '20191', 'jmldosen': 0, 'jmlmhs': 63}]",1
MEUzMDAyRjktQzgxOS00Q0RGLTkwQkQtQkVCQzQyOTEzMTIy,Akademi Kebidanan Karya Bunda Husada,B,Kab. Tangerang - Prov. Banten - Indonesia,-6.196243,106.622727,jl. imam bonjol no. 77 kel. bojong jaya karawaci tangerang,,044134  ,akbidkaryabundahusada.blogspot.com,021-5515694,1,"[{'smt': '20181', 'jmldosen': 9, 'jmlmhs': 122}, {'smt': '20191', 'jmldosen': 8, 'jmlmhs': 168}]",1
QjA0ODVDNDUtMDAyMi00Mzg4LUE2RjgtQkFBOUY2MzU4QjNE,Akademi Kebidanan Palapa Husada,B,Kec. Medan Tuntungan - Kota Medan - Prov. Sumatera Utara,,,Jalan Bunga Lau No. 9 Tuntungan,,014192  , ,061-8367405,1,"[{'smt': '20181', 'jmldosen': 0, 'jmlmhs': 0}, {'smt': '20191', 'jmldosen': 0, 'jmlmhs': 0}]",1
NTgyRDkyMUEtNUYwRS00NTdDLUIwOTUtODkzQzkyQUFCM0JE,Akademi Keperawatan Dian Husada,B,Kab. Mojokerto - Prov. Jawa Timur - Indonesia,,,Jalan Raya Jabon 40 ,,074040  , ,0321-321121,1,"[{'smt': '20181', 'jmldosen': 8, 'jmlmhs': 139}, {'smt': '20191', 'jmldosen': 8, 'jmlmhs': 115}]",1
